time,channel,band,power
11.671875,AF7,alpha,1.2989033864698525
11.7578125,AF7,alpha,1.2913550808267982
11.84375,AF7,alpha,1.2635410254800403
11.9296875,AF7,alpha,1.2002207314586189
12.015625,AF7,alpha,1.1232946913178325
12.1015625,AF7,alpha,1.0277565783330986
12.1875,AF7,alpha,0.9473553911304513
12.2734375,AF7,alpha,0.9414581225442141
12.359375,AF7,alpha,1.004107856327571
12.4453125,AF7,alpha,1.0885682174263547
12.53125,AF7,alpha,1.1677478626079116
12.6171875,AF7,alpha,1.247818128712804
12.703125,AF7,alpha,1.302854437801121
12.7890625,AF7,alpha,1.3297116603336303
12.875,AF7,alpha,1.3418071240638456
12.9609375,AF7,alpha,1.3511122097492978
13.046875,AF7,alpha,1.3422002983166785
13.1328125,AF7,alpha,1.3223645662241383
13.21875,AF7,alpha,1.276758449763774
13.3046875,AF7,alpha,1.204239785684973
13.390625,AF7,alpha,1.1530569127015162
13.4765625,AF7,alpha,1.1368012914548487
13.5625,AF7,alpha,1.200851671539993
13.6484375,AF7,alpha,1.3106225143174453
13.734375,AF7,alpha,1.4033572621101504
13.8203125,AF7,alpha,1.4514373418249953
13.90625,AF7,alpha,1.4365890436389404
13.9921875,AF7,alpha,1.3997665895008764
14.078125,AF7,alpha,1.3728557005274133
14.1640625,AF7,alpha,1.3923796513894378
14.25,AF7,alpha,1.4365481479776474
14.3359375,AF7,alpha,1.4556592701446085
14.421875,AF7,alpha,1.430341209410952
14.5078125,AF7,alpha,1.3505557290573413
14.59375,AF7,alpha,1.2348987358078338
14.6796875,AF7,alpha,1.1578951133374333
14.765625,AF7,alpha,1.230095368234369
14.8515625,AF7,alpha,1.4063646246394248
14.9375,AF7,alpha,1.558307328508883
15.0234375,AF7,alpha,1.6412970917190235
15.109375,AF7,alpha,1.6557158699951144
15.1953125,AF7,alpha,1.6254207838159684
15.28125,AF7,alpha,1.5831980774895944
15.3671875,AF7,alpha,1.585697904723691
15.453125,AF7,alpha,1.68529557624803
15.5390625,AF7,alpha,1.8644303348225555
15.625,AF7,alpha,2.0419258618127545
15.7109375,AF7,alpha,2.1620340444399284
15.796875,AF7,alpha,2.197198845227684
15.8828125,AF7,alpha,2.142270210990716
15.96875,AF7,alpha,2.0074949508661666
