unix_ms,lsl_unix_ts,X,Y,Z
1767829416732,1767829416.7319617,-3.7907376289367676,-1.6523728370666504,-0.10467520356178284
1767829416732,1767829416.7319808,-3.4468047618865967,-1.7495712041854858,-0.15701280534267426
1767829416792,1767829416.7919424,-3.072964906692505,-1.7271407842636108,0.08972159773111343
1767829416792,1767829416.7919617,-3.102871894836426,-1.3308703899383545,-0.2990719974040985
1767829416792,1767829416.7919807,-3.4692351818084717,-0.9121695756912231,-0.5682368278503418
1767829416841,1767829416.8399422,-3.4991424083709717,-0.3514096140861511,-0.3289791941642761
1767829416841,1767829416.8399615,-3.5140960216522217,0.14953599870204926,-0.18692000210285187
1767829416841,1767829416.8399806,-3.4767119884490967,0.8897392153739929,-0.05981440097093582
1767829416900,1767829416.8969424,-3.4841887950897217,1.7271407842636108,-0.18692000210285187
1767829416900,1767829416.8969617,-3.5664336681365967,2.265470504760742,0.20187360048294067
1767829416900,1767829416.8969808,-3.244931221008301,3.327176094055176,0.7177727818489075
1767829416960,1767829416.9569423,-3.297268867492676,4.381404876708984,1.1215200424194336
1767829416960,1767829416.9569616,-3.5514800548553467,5.144038200378418,1.3009631633758545
1767829416960,1767829416.9569807,-3.4767119884490967,5.435633659362793,1.44302237033844
1767829417019,1767829417.0169423,-3.282315254211426,5.704798221588135,1.2934863567352295
1767829417019,1767829417.0169616,-2.938382387161255,6.504816055297852,1.0168447494506836
1767829417019,1767829417.0169806,-2.631833553314209,6.430047988891602,0.6654351949691772
1767829417082,1767829417.0789423,-2.415006399154663,5.90667200088501,0.2915951907634735
1767829417082,1767829417.0789616,-2.512204885482788,5.271143913269043,-0.3215023875236511
1767829417082,1767829417.0789807,-2.557065486907959,4.822535991668701,-0.7476800084114075
1767829417129,1767829417.1249423,-2.624356746673584,4.403835296630859,-1.0392751693725586
1767829417129,1767829417.1249616,-2.721555233001709,4.246822357177734,-1.0916128158569336
1767829417129,1767829417.1249807,-2.422483205795288,4.201961517333984,-0.9420768022537231
1767829417182,1767829417.1819422,-2.512204885482788,4.344020843505859,-0.8822624087333679
1767829417182,1767829417.1819615,-2.400052785873413,3.7159695625305176,-0.7327263951301575
1767829417182,1767829417.1819806,-2.691648006439209,3.06548810005188,-0.4710384011268616
1767829417244,1767829417.2439423,-3.072964906692505,2.669217586517334,-0.37384000420570374
1767829417244,1767829417.2439616,-2.91595196723938,2.347715139389038,-0.3140256106853485
1767829417244,1767829417.2439806,-3.207547187805176,2.497251272201538,-0.40374720096588135
1767829417302,1767829417.3019423,-3.06548810005188,2.654263973236084,-0.598143994808197
1767829417302,1767829417.3019617,-2.82623028755188,2.788846492767334,-0.6579583883285522
1767829417302,1767829417.3019807,-3.185116767883301,2.99072003364563,-0.5233759880065918
1767829417366,1767829417.3649423,-3.274838447570801,3.207547187805176,-0.4710384011268616
1767829417366,1767829417.3649616,-3.05053448677063,3.237454414367676,-0.6953424215316772
1767829417366,1767829417.3649807,-3.05053448677063,3.5440032482147217,-0.628051221370697
1767829417410,1767829417.4089422,-2.85613751411438,3.5739104747772217,-0.8224480152130127
1767829417410,1767829417.4089615,-2.91595196723938,3.5440032482147217,-0.9495536088943481
1767829417410,1767829417.4089806,-3.4767119884490967,3.349606513977051,-1.248625636100769
1767829417470,1767829417.4669423,-3.095395088195801,3.072964906692505,-1.3682544231414795
1767829417470,1767829417.4669616,-2.542112112045288,3.058011293411255,-1.50283682346344
1767829417470,1767829417.4669807,-2.549588918685913,3.6412014961242676,-1.450499176979065
1767829417531,1767829417.5289423,-2.497251272201538,3.9776575565338135,-1.5701279640197754
1767829417531,1767829417.5289617,-2.347715139389038,3.9402735233306885,-1.5776047706604004
1767829417531,1767829417.5289807,-2.392575979232788,4.209438323974609,-1.211241602897644
1767829417591,1767829417.5899422,-2.355191946029663,4.224391937255859,-0.9794607758522034
1767829417591,1767829417.5899615,-2.123411178588867,3.8430752754211426,-1.1364736557006836
1767829417591,1767829417.5899806,-1.9364912509918213,3.9552271366119385,-0.9121695756912231
1767829417662,1767829417.6619422,-2.459867238998413,3.8281216621398926,-0.9719840288162231
1767829417662,1767829417.6619616,-2.676694393157959,4.082332611083984,-0.9794607758522034
1767829417662,1767829417.6619806,-2.676694393157959,4.029994964599609,-1.0691823959350586
1767829417707,1767829417.7069423,-2.527158498764038,4.501033782958984,-0.8972160220146179
1767829417707,1767829417.7069616,-2.287900686264038,5.173945426940918,-0.9046928286552429
1767829417707,1767829417.7069807,-2.041166305541992,5.061793804168701,-0.8074944019317627
1767829417771,1767829417.7669423,-2.086027145385742,4.904780864715576,-0.6803888082504272
1767829417771,1767829417.7669616,-1.8841536045074463,5.009456157684326,-0.7327263951301575
1767829417771,1767829417.7669806,-2.332761526107788,4.844966411590576,-0.4560847878456116
1767829417815,1767829417.8129423,-2.609403133392334,3.7084927558898926,-0.39627039432525635
1767829417817,1767829417.8129616,-2.848660707473755,3.222500801086426,-0.4635615944862366
1767829417817,1767829417.8129807,-2.729032039642334,3.342129707336426,-0.5084223747253418
1767829417904,1767829417.9029424,-2.736508846282959,3.4393279552459717,-0.8299248218536377
1767829417904,1767829417.9029617,-2.377622365951538,3.132779121398926,-0.9645072221755981
1767829417904,1767829417.9029808,-2.729032039642334,3.177639961242676,-1.0168447494506836
1767829417932,1767829417.9319422,-2.803800106048584,3.132779121398926,-1.3607776165008545
1767829417932,1767829417.9319615,-2.99072003364563,2.87109112739563,-1.44302237033844
1767829417932,1767829417.9319806,-3.4019439220428467,3.03558087348938,-1.3308703899383545
1767829417992,1767829417.9919424,-3.3570830821990967,3.4019439220428467,-1.263579249382019
1767829417992,1767829417.9919617,-3.5888640880584717,3.7383999824523926,-1.1289968490600586
1767829417992,1767829417.9919808,-3.4841887950897217,3.9402735233306885,-1.196287989616394
1767829418037,1767829418.0369422,-3.147732734680176,3.7383999824523926,-1.41311514377594
1767829418037,1767829418.0369616,-3.192593574523926,3.8580288887023926,-1.271056056022644
