unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10,Right AUX
1767593598190,1767593598.0972812,-29.78515625,-42.96875,-39.0625,-32.2265625,-60.546875
1767593598190,1767593598.1011875,-31.73828125,-38.57421875,-39.55078125,-34.66796875,-195.3125
1767593598190,1767593598.1050937,-21.97265625,-56.640625,-37.59765625,-34.1796875,-280.76171875
1767593598211,1767593598.155125,-20.99609375,-85.9375,-37.109375,-36.1328125,-210.44921875
1767593598211,1767593598.1590312,-19.53125,-64.94140625,-43.45703125,-39.55078125,-146.484375
1767593598211,1767593598.1629374,-10.7421875,-32.2265625,-41.9921875,-33.203125,-170.8984375
1767593598211,1767593598.1668437,-4.39453125,-40.52734375,-37.109375,-33.69140625,-213.37890625
1767593598211,1767593598.17075,-1.953125,-104.4921875,-40.52734375,-42.96875,-213.8671875
1767593598211,1767593598.1746562,2.44140625,-147.94921875,-40.52734375,-26.3671875,264.16015625
1767593598211,1767593598.1785624,8.30078125,-69.82421875,-39.0625,-20.01953125,494.140625
1767593598211,1767593598.1824687,4.39453125,-8.30078125,-41.015625,-36.62109375,122.55859375
1767593598211,1767593598.186375,-12.6953125,-50.29296875,-38.0859375,-32.2265625,-70.80078125
1767593598211,1767593598.1902812,-27.34375,-38.57421875,-37.109375,-18.06640625,-236.328125
1767593598211,1767593598.1941874,-32.71484375,-15.625,-31.25,-0.48828125,-270.99609375
1767593598211,1767593598.1980937,-25.87890625,-62.5,-25.87890625,14.6484375,-139.16015625
1767593598233,1767593598.182125,-39.0625,-117.1875,-25.390625,-5.859375,-474.609375
1767593598233,1767593598.1860313,-42.96875,-79.1015625,-22.4609375,-23.4375,-961.42578125
1767593598233,1767593598.1899376,-29.78515625,-41.015625,-18.5546875,-20.01953125,-1000.0
1767593598233,1767593598.1938438,-34.66796875,-66.40625,-25.87890625,-32.2265625,-939.94140625
1767593598233,1767593598.19775,-35.64453125,-93.26171875,-28.80859375,-37.59765625,-839.84375
1767593598233,1767593598.2016563,-16.11328125,-59.5703125,-26.3671875,-29.296875,-685.546875
1767593598233,1767593598.2055626,-14.6484375,-56.15234375,-29.78515625,-29.78515625,-671.38671875
1767593598233,1767593598.2094688,-20.99609375,-62.98828125,-31.25,-35.15625,-642.578125
1767593598233,1767593598.213375,-17.578125,-30.76171875,-28.80859375,-36.1328125,-520.5078125
1767593598233,1767593598.2172813,-25.390625,-38.0859375,-24.90234375,-41.015625,-510.25390625
1767593598233,1767593598.2211876,-26.3671875,-52.24609375,-23.92578125,-38.57421875,-469.23828125
1767593598233,1767593598.2250938,-14.6484375,-58.10546875,-24.4140625,-26.3671875,-281.25
1767593598339,1767593598.258125,-3.41796875,-56.15234375,-27.34375,-27.34375,-291.015625
1767593598339,1767593598.2620313,-5.37109375,-47.8515625,-27.34375,-35.15625,-478.515625
1767593598339,1767593598.2659376,-12.20703125,-64.453125,-26.3671875,-36.62109375,-537.109375
1767593598339,1767593598.2698438,-8.7890625,-95.703125,-27.34375,-34.1796875,-400.390625
1767593598339,1767593598.27375,-6.8359375,-74.70703125,-31.73828125,-36.1328125,-338.37890625
1767593598339,1767593598.2776563,-13.18359375,-68.84765625,-33.203125,-41.9921875,-301.7578125
1767593598339,1767593598.2815626,-13.671875,-89.84375,-31.25,-38.57421875,-302.734375
1767593598339,1767593598.2854688,-9.27734375,-104.4921875,-29.78515625,-21.484375,-255.859375
1767593598339,1767593598.289375,-10.7421875,-124.51171875,-26.85546875,-5.859375,163.0859375
1767593598339,1767593598.2932813,-11.71875,-63.4765625,-27.83203125,-18.5546875,170.8984375
1767593598339,1767593598.2971876,-13.671875,-11.71875,-29.78515625,-30.2734375,-281.73828125
1767593598339,1767593598.3010938,-13.671875,-68.359375,-29.296875,-22.94921875,-281.25
1767593598343,1767593598.292125,-11.71875,-62.98828125,-28.80859375,-24.90234375,-144.04296875
1767593598344,1767593598.2960312,-10.25390625,-28.3203125,-27.34375,-24.4140625,-247.0703125
1767593598344,1767593598.2999375,-11.71875,-62.98828125,-27.34375,-22.4609375,-378.41796875
1767593598344,1767593598.3038437,-10.7421875,-129.8828125,-31.73828125,-17.08984375,3.41796875
1767593598344,1767593598.30775,-11.71875,-64.94140625,-32.2265625,-15.625,142.08984375
1767593598344,1767593598.3116562,-11.71875,-16.11328125,-27.83203125,-26.85546875,-149.4140625
1767593598344,1767593598.3155625,-15.625,-61.03515625,-30.2734375,-36.1328125,-193.84765625
1767593598344,1767593598.3194687,-24.90234375,-43.45703125,-33.203125,-42.96875,116.2109375
1767593598344,1767593598.323375,-20.99609375,0.0,-33.69140625,-41.50390625,490.72265625
1767593598344,1767593598.3272812,-14.6484375,-22.94921875,-30.2734375,-32.2265625,474.609375
1767593598344,1767593598.3311875,-11.71875,-65.91796875,-28.80859375,-28.80859375,420.41015625
1767593598344,1767593598.3350937,-19.53125,-64.453125,-30.2734375,-31.73828125,375.48828125
1767593598375,1767593598.318125,-24.4140625,-45.8984375,-30.2734375,-26.3671875,338.8671875
1767593598375,1767593598.3220313,-21.484375,-48.828125,-29.78515625,-22.94921875,308.59375
1767593598375,1767593598.3259375,-20.99609375,-83.984375,-27.83203125,-26.3671875,408.203125
1767593598375,1767593598.3298438,-17.08984375,-67.87109375,-28.80859375,-30.76171875,444.82421875
1767593598375,1767593598.33375,-15.13671875,-35.15625,-31.25,-30.76171875,165.52734375
1767593598375,1767593598.3376563,-16.11328125,-64.453125,-33.203125,-21.484375,174.8046875
1767593598375,1767593598.3415625,-16.6015625,-86.9140625,-38.0859375,-19.53125,386.23046875
1767593598375,1767593598.3454688,-21.484375,-47.36328125,-38.57421875,-33.203125,260.25390625
1767593598375,1767593598.349375,-25.390625,-27.34375,-37.59765625,-38.57421875,8.30078125
1767593598375,1767593598.3532813,-19.53125,-60.05859375,-35.15625,-25.87890625,39.0625
1767593598375,1767593598.3571875,-14.16015625,-89.35546875,-31.73828125,-25.390625,208.984375
