TimeStamp,unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10
2025-12-28 21:19:06.864,1766974746864,1766974746.864,796.1905,796.1905,807.0696,786.1172
2025-12-28 21:19:06.864,1766974746864,1766974746.864,792.1612,793.36993,801.02563,780.87915
2025-12-28 21:19:06.864,1766974746864,1766974746.864,798.20514,792.5641,799.011,781.28204
2025-12-28 21:19:06.865,1766974746865,1766974746.865,801.02563,794.9817,805.05493,785.31134
2025-12-28 21:19:06.865,1766974746865,1766974746.865,792.5641,796.1905,805.8608,784.5055
2025-12-28 21:19:06.865,1766974746865,1766974746.865,790.54944,799.81683,811.0989,785.31134
2025-12-28 21:19:06.906,1766974746906,1766974746.906,795.78754,804.65204,811.9048,782.0879
2025-12-28 21:19:06.906,1766974746906,1766974746.906,797.3993,805.4579,814.7253,782.8938
2025-12-28 21:19:06.907,1766974746907,1766974746.907,793.7729,802.6374,815.9341,779.67035
2025-12-28 21:19:06.907,1766974746907,1766974746.907,787.72894,802.23444,812.3077,780.4762
2025-12-28 21:19:06.907,1766974746907,1766974746.907,788.1319,800.6227,811.50183,785.7143
2025-12-28 21:19:06.907,1766974746907,1766974746.907,793.36993,797.3993,811.9048,790.54944
2025-12-28 21:19:06.909,1766974746909,1766974746.909,777.6557,807.0696,812.71063,775.2381
2025-12-28 21:19:06.909,1766974746909,1766974746.909,776.8498,805.4579,806.6667,772.01465
2025-12-28 21:19:06.909,1766974746909,1766974746.909,784.90845,800.2198,803.8461,780.07324
2025-12-28 21:19:06.910,1766974746910,1766974746.91,783.2967,812.3077,807.47253,770.0
2025-12-28 21:19:06.910,1766974746910,1766974746.91,794.57874,821.978,821.5751,786.1172
2025-12-28 21:19:06.910,1766974746910,1766974746.91,775.2381,831.6484,828.8278,784.10254
2025-12-28 21:19:06.947,1766974746947,1766974746.947,765.16486,834.87177,825.6044,778.86444
2025-12-28 21:19:06.948,1766974746948,1766974746.948,771.2088,833.663,846.1539,777.6557
2025-12-28 21:19:06.948,1766974746948,1766974746.948,758.315,829.6337,841.31866,745.0183
2025-12-28 21:19:06.948,1766974746948,1766974746.948,713.1868,809.0842,823.9927,696.6667
2025-12-28 21:19:06.949,1766974746949,1766974746.949,514.5421,798.20514,844.5421,508.9011
2025-12-28 21:19:06.949,1766974746949,1766974746.949,584.65204,804.65204,877.1795,569.7436
2025-12-28 21:19:06.949,1766974746949,1766974746.949,655.56775,805.4579,832.8571,650.32965
2025-12-28 21:19:06.949,1766974746949,1766974746.949,629.7802,811.9048,865.89746,620.10986
2025-12-28 21:19:06.950,1766974746950,1766974746.95,472.23444,793.7729,831.2454,478.6813
2025-12-28 21:19:06.950,1766974746950,1766974746.95,457.72894,819.9634,839.304,471.02563
2025-12-28 21:19:06.950,1766974746950,1766974746.95,455.7143,846.55676,849.7802,484.72528
2025-12-28 21:19:06.951,1766974746951,1766974746.951,467.8022,817.9487,851.79486,496.8132
2025-12-28 21:19:06.988,1766974746988,1766974746.988,484.32236,801.8315,836.4835,512.1245
2025-12-28 21:19:06.989,1766974746989,1766974746.989,525.82416,716.0073,701.9048,593.5165
2025-12-28 21:19:06.989,1766974746989,1766974746.989,505.27472,791.75824,811.9048,539.92676
2025-12-28 21:19:06.989,1766974746989,1766974746.989,523.4066,747.03296,759.12085,575.78754
2025-12-28 21:19:06.990,1766974746990,1766974746.99,530.65936,678.93774,655.16486,621.31866
2025-12-28 21:19:06.990,1766974746990,1766974746.99,545.9707,628.1685,620.9158,662.4176
2025-12-28 21:19:06.991,1766974746991,1766974746.991,555.2381,610.0366,643.47986,679.34064
2025-12-28 21:19:06.991,1766974746991,1766974746.991,583.44324,622.9304,691.8315,700.696
2025-12-28 21:19:06.993,1766974746993,1766974746.993,577.3993,692.6374,780.4762,699.0842
2025-12-28 21:19:06.993,1766974746993,1766974746.993,574.57874,737.3626,824.3956,703.5165
2025-12-28 21:19:06.993,1766974746993,1766974746.993,603.1868,657.1795,734.94507,703.1135
2025-12-28 21:19:06.994,1766974746994,1766974746.994,584.65204,781.685,847.76556,678.1319
2025-12-28 21:19:07.045,1766974747045,1766974747.045,564.5055,808.68134,851.39197,647.50916
2025-12-28 21:19:07.046,1766974747046,1766974747.046,562.0879,839.707,853.00366,638.6447
2025-12-28 21:19:07.046,1766974747046,1766974747.046,568.93774,863.8828,862.674,620.10986
2025-12-28 21:19:07.046,1766974747046,1766974747.046,560.4762,868.71796,876.3736,578.60803
2025-12-28 21:19:07.047,1766974747047,1766974747.047,543.1502,867.1062,867.1062,519.3773
2025-12-28 21:19:07.047,1766974747047,1766974747.047,533.47986,861.06226,866.30035,447.65567
2025-12-28 21:19:07.047,1766974747047,1766974747.047,536.7033,840.10986,881.6117,379.56042
2025-12-28 21:19:07.047,1766974747047,1766974747.047,537.50916,813.91943,877.5824,308.24176
2025-12-28 21:19:07.048,1766974747048,1766974747.048,554.43225,849.3773,871.53845,224.83516
2025-12-28 21:19:07.048,1766974747048,1766974747.048,583.44324,894.90845,862.674,240.54945
2025-12-28 21:19:07.048,1766974747048,1766974747.048,539.92676,811.0989,873.5531,253.44322
2025-12-28 21:19:07.049,1766974747049,1766974747.049,623.73627,916.26373,845.7509,286.0806
2025-12-28 21:19:07.080,1766974747080,1766974747.08,640.65936,919.89014,819.9634,313.47986
2025-12-28 21:19:07.080,1766974747080,1766974747.08,628.1685,919.89014,782.0879,338.46155
2025-12-28 21:19:07.081,1766974747081,1766974747.081,627.76556,914.65204,754.68866,411.79486
2025-12-28 21:19:07.081,1766974747081,1766974747.081,661.6117,908.60803,755.09155,521.39197
2025-12-28 21:19:07.082,1766974747082,1766974747.082,794.9817,891.28204,789.34064,836.08057
2025-12-28 21:19:07.082,1766974747082,1766974747.082,698.68134,918.2784,768.3883,623.3333
2025-12-28 21:19:07.082,1766974747082,1766974747.082,728.49817,915.8608,774.43225,704.3223
2025-12-28 21:19:07.082,1766974747082,1766974747.082,761.13556,910.6227,782.49084,769.59705
2025-12-28 21:19:07.083,1766974747083,1766974747.083,850.989,890.4762,819.9634,963.00366
2025-12-28 21:19:07.083,1766974747083,1766974747.083,829.6337,869.5238,800.6227,903.36993
2025-12-28 21:19:07.085,1766974747085,1766974747.085,861.4652,890.07324,821.978,1007.326
2025-12-28 21:19:07.085,1766974747085,1766974747.085,875.9707,863.8828,801.8315,1037.9487
2025-12-28 21:19:07.124,1766974747124,1766974747.124,888.46155,848.1685,774.0293,1068.5714
2025-12-28 21:19:07.124,1766974747124,1766974747.124,908.20514,844.94507,779.67035,1078.6447
2025-12-28 21:19:07.125,1766974747125,1766974747.125,919.0842,842.9304,802.6374,1075.0183
2025-12-28 21:19:07.125,1766974747125,1766974747.125,895.7143,831.2454,788.1319,1055.2748
2025-12-28 21:19:07.125,1766974747125,1766974747.125,888.46155,824.3956,772.4176,1042.7839
2025-12-28 21:19:07.125,1766974747125,1766974747.125,900.14655,817.5458,765.9707,1038.7546
2025-12-28 21:19:07.126,1766974747126,1766974747.126,912.23444,801.8315,748.24176,996.4469
2025-12-28 21:19:07.126,1766974747126,1766974747.126,912.23444,802.23444,755.09155,1019.41394
2025-12-28 21:19:07.126,1766974747126,1766974747.126,905.38464,809.4872,753.0769,1026.6666
2025-12-28 21:19:07.126,1766974747126,1766974747.126,909.011,803.8461,753.8828,1023.8461
2025-12-28 21:19:07.127,1766974747127,1766974747.127,909.011,801.02563,770.0,985.9707
2025-12-28 21:19:07.127,1766974747127,1766974747.127,911.02563,805.05493,782.8938,977.9121
2025-12-28 21:19:07.164,1766974747164,1766974747.164,911.4286,807.8755,775.64105,971.06226
2025-12-28 21:19:07.165,1766974747165,1766974747.165,920.696,802.6374,765.9707,963.4066
2025-12-28 21:19:07.165,1766974747165,1766974747.165,917.0696,807.8755,774.0293,972.27106
2025-12-28 21:19:07.165,1766974747165,1766974747.165,921.0989,800.6227,762.3443,956.9597
2025-12-28 21:19:07.166,1766974747166,1766974747.166,921.50183,796.1905,784.10254,947.6923
2025-12-28 21:19:07.166,1766974747166,1766974747.166,925.9341,803.8461,776.04395,956.1539
2025-12-28 21:19:07.166,1766974747166,1766974747.166,922.71063,794.17584,781.685,941.6484
2025-12-28 21:19:07.167,1766974747167,1766974747.167,909.81683,787.72894,773.22345,921.50183
2025-12-28 21:19:07.167,1766974747167,1766974747.167,918.2784,794.57874,778.46155,936.4103
2025-12-28 21:19:07.168,1766974747168,1766974747.168,913.0403,795.38464,778.46155,920.293
2025-12-28 21:19:07.168,1766974747168,1766974747.168,909.81683,792.1612,781.28204,924.3223
2025-12-28 21:19:07.168,1766974747168,1766974747.168,907.8022,785.7143,772.4176,923.1135
2025-12-28 21:19:07.225,1766974747225,1766974747.225,912.6374,793.36993,781.28204,923.91943
2025-12-28 21:19:07.227,1766974747227,1766974747.227,918.2784,794.9817,798.20514,929.15753
2025-12-28 21:19:07.228,1766974747228,1766974747.228,913.0403,789.34064,791.75824,925.9341
2025-12-28 21:19:07.229,1766974747229,1766974747.229,902.5641,788.5348,778.86444,902.1612
2025-12-28 21:19:07.229,1766974747229,1766974747.229,902.5641,788.93774,778.86444,911.02563
2025-12-28 21:19:07.230,1766974747230,1766974747.23,905.38464,792.5641,791.3553,908.60803
2025-12-28 21:19:07.230,1766974747230,1766974747.23,901.75824,790.14655,795.78754,909.41394
2025-12-28 21:19:07.231,1766974747231,1766974747.231,895.31134,784.90845,789.34064,896.9231
2025-12-28 21:19:07.232,1766974747232,1766974747.232,882.4176,787.72894,790.54944,890.07324
2025-12-28 21:19:07.232,1766974747232,1766974747.232,882.8205,791.75824,799.41394,894.5055
2025-12-28 21:19:07.233,1766974747233,1766974747.233,889.2674,795.38464,799.011,898.5348
2025-12-28 21:19:07.234,1766974747234,1766974747.234,885.64105,798.60803,799.41394,894.5055
2025-12-28 21:19:07.282,1766974747282,1766974747.282,881.6117,796.1905,803.0403,890.87915
2025-12-28 21:19:07.283,1766974747283,1766974747.283,892.49084,807.8755,807.0696,898.1319
2025-12-28 21:19:07.283,1766974747283,1766974747.283,877.1795,792.1612,793.7729,896.52014
2025-12-28 21:19:07.283,1766974747283,1766974747.283,890.4762,804.2491,797.3993,901.75824
2025-12-28 21:19:07.284,1766974747284,1766974747.284,882.4176,793.7729,806.26373,893.2967
2025-12-28 21:19:07.284,1766974747284,1766974747.284,880.80585,785.31134,801.4286,885.2381
2025-12-28 21:19:07.285,1766974747285,1766974747.285,881.6117,789.7436,801.8315,885.64105
2025-12-28 21:19:07.285,1766974747285,1766974747.285,880.0,795.78754,802.6374,886.4469
2025-12-28 21:19:07.286,1766974747286,1766974747.286,868.71796,792.5641,804.2491,876.3736
2025-12-28 21:19:07.286,1766974747286,1766974747.286,865.89746,790.14655,809.89014,875.16486
2025-12-28 21:19:07.287,1766974747287,1766974747.287,865.89746,794.9817,816.337,868.71796
2025-12-28 21:19:07.287,1766974747287,1766974747.287,868.315,793.36993,813.1135,874.7619
2025-12-28 21:19:07.325,1766974747325,1766974747.325,859.0476,797.8022,810.696,863.0769
2025-12-28 21:19:07.326,1766974747326,1766974747.326,849.7802,794.9817,803.0403,854.21246
2025-12-28 21:19:07.328,1766974747328,1766974747.328,846.1539,793.36993,809.0842,852.6007
2025-12-28 21:19:07.328,1766974747328,1766974747.328,847.76556,790.9524,812.71063,853.00366
2025-12-28 21:19:07.329,1766974747329,1766974747.329,840.10986,786.1172,805.4579,843.73627
2025-12-28 21:19:07.329,1766974747329,1766974747.329,839.707,783.69965,795.78754,840.9158
2025-12-28 21:19:07.329,1766974747329,1766974747.329,846.1539,789.7436,808.2784,847.76556
2025-12-28 21:19:07.330,1766974747330,1766974747.33,853.8095,788.93774,808.68134,856.2271
2025-12-28 21:19:07.330,1766974747330,1766974747.33,840.5128,788.93774,808.2784,843.73627
2025-12-28 21:19:07.330,1766974747330,1766974747.33,848.1685,788.93774,793.7729,840.10986
2025-12-28 21:19:07.330,1766974747330,1766974747.33,853.8095,790.9524,803.0403,850.18317
2025-12-28 21:19:07.331,1766974747331,1766974747.331,841.7216,792.1612,807.47253,842.9304
2025-12-28 21:19:07.367,1766974747367,1766974747.367,855.0183,799.011,811.50183,848.97437
2025-12-28 21:19:07.368,1766974747368,1766974747.368,851.39197,793.7729,809.4872,847.3626
2025-12-28 21:19:07.369,1766974747369,1766974747.369,847.3626,791.3553,811.0989,847.3626
2025-12-28 21:19:07.369,1766974747369,1766974747.369,850.58606,797.3993,816.337,846.55676
2025-12-28 21:19:07.369,1766974747369,1766974747.369,842.1245,792.96704,806.6667,835.6777
2025-12-28 21:19:07.370,1766974747370,1766974747.37,838.9011,796.99634,803.0403,837.6923
2025-12-28 21:19:07.370,1766974747370,1766974747.37,836.8865,799.41394,805.4579,835.2747
2025-12-28 21:19:07.370,1766974747370,1766974747.37,832.4542,795.38464,807.0696,823.9927
2025-12-28 21:19:07.370,1766974747370,1766974747.37,830.84247,788.1319,809.4872,823.5897
